Risk ID,Title,Level,Category,Owner,Assessor,Inherent Risk,Inherent Trend,Controls,Effectiveness,Test Results,Residual Risk,Residual Trend,Status,Last Assessed
R-001,Process Failure - Event 1,Level 3,Operational,Mike Davis,External Auditor,"[35, Medium]",↓Decreasing,CTRL-002: Process Failure Control,Ineffective,Pending,"[35, Medium]",↓Decreasing,Sent for Assessment,12/12/2025
R-002,Process Failure - Event 2,Level 3,Operational,Lisa Martinez,Compliance Team,"[35, Medium]",→Stable,CTRL-003: Process Failure Control,Partially Effective,Fail,"[35, Medium]",↓Decreasing,Pending Approval,12/21/2025
R-003,Process Failure - Event 3,Level 3,Operational,Alex Turner,Compliance Team,"[48, High]",→Stable,CTRL-004: Process Failure Control,Ineffective,Pending,"[35, Medium]",↑Increasing,Sent for Assessment,01/12/2026
R-004,Process Failure - Event 4,Level 2,Operational,Maria Garcia,External Auditor,"[18, Medium]",↑Increasing,CTRL-005: Process Failure Control,Partially Effective,Not Tested,"[8, Low]",↓Decreasing,Pending Approval,12/08/2025
R-005,Process Failure - Event 5,Level 3,Operational,John Smith,Internal Audit,"[24, Medium]",↑Increasing,CTRL-006: Process Failure Control,Design Effective,Pending,"[24, Medium]",↓Decreasing,Sent for Assessment,02/05/2026
R-006,Process Failure - Event 6,Level 3,Operational,Lisa Martinez,External Auditor,"[35, Medium]",↓Decreasing,CTRL-007: Process Failure Control,Ineffective,Pending,"[8, Low]",↑Increasing,Completed,12/20/2025
R-007,Process Failure - Event 7,Level 3,Operational,Mike Davis,External Auditor,"[24, Medium]",→Stable,CTRL-008: Process Failure Control,Ineffective,Fail,"[24, Medium]",→Stable,Pending Approval,12/21/2025
R-008,Human Error - Event 8,Level 1,Operational,Mike Davis,Risk Team A,"[18, Medium]",↓Decreasing,CTRL-009: Human Error Control,Partially Effective,Not Tested,"[18, Medium]",↓Decreasing,Review & Challenge,01/23/2026
R-009,Human Error - Event 9,Level 3,Operational,David Wilson,Compliance Team,"[18, Medium]",→Stable,CTRL-010: Human Error Control,Partially Effective,Pending,"[8, Low]",↓Decreasing,Pending Approval,01/26/2026
R-010,Human Error - Event 10,Level 2,Operational,Lisa Martinez,Compliance Team,"[18, Medium]",→Stable,CTRL-011: Human Error Control,Partially Effective,Pass,"[18, Medium]",↑Increasing,Pending Approval,12/08/2025
R-011,Human Error - Event 11,Level 2,Operational,John Smith,External Auditor,"[24, Medium]",↓Decreasing,CTRL-012: Human Error Control,Design Effective,Pass,"[35, Medium]",→Stable,Sent for Assessment,01/11/2026
R-012,Human Error - Event 12,Level 2,Operational,Emily Chen,Internal Audit,"[18, Medium]",↓Decreasing,CTRL-013: Human Error Control,Design Effective,Pass,"[8, Low]",↑Increasing,Sent for Assessment,12/08/2025
R-013,Human Error - Event 13,Level 3,Operational,Robert Chen,Internal Audit,"[24, Medium]",↓Decreasing,CTRL-014: Human Error Control,Partially Effective,Not Tested,"[24, Medium]",↓Decreasing,Sent for Assessment,01/19/2026
R-014,Human Error - Event 14,Level 3,Operational,Nina Patel,Internal Audit,"[18, Medium]",↓Decreasing,CTRL-015: Human Error Control,Partially Effective,Fail,"[24, Medium]",↓Decreasing,Review & Challenge,12/08/2025
R-015,System Outage - Event 15,Level 3,Operational,John Smith,Internal Audit,"[18, Medium]",→Stable,CTRL-016: System Outage Control,Ineffective,Fail,"[18, Medium]",↓Decreasing,Review & Challenge,12/30/2025
R-016,System Outage - Event 16,Level 3,Operational,Nina Patel,Risk Team B,"[35, Medium]",→Stable,CTRL-017: System Outage Control,Partially Effective,Pending,"[18, Medium]",→Stable,Sent for Assessment,12/19/2025
R-017,System Outage - Event 17,Level 3,Operational,Emily Chen,Risk Team A,"[24, Medium]",↑Increasing,CTRL-018: System Outage Control,Ineffective,Not Tested,"[8, Low]",→Stable,Pending Approval,12/13/2025
R-018,System Outage - Event 18,Level 1,Operational,David Wilson,External Auditor,"[24, Medium]",↑Increasing,CTRL-019: System Outage Control,Partially Effective,Not Tested,"[8, Low]",↓Decreasing,Review & Challenge,12/15/2025
